960,0
961,0
962,0
963,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1196,0
1197,0
1215,0
1216,0
1217,0
1227,0
974,0
975,0
976,0
977,0
978,0
979,0
1228,0
1229,0
1230,0
1238,0
1239,1
1240,0
1241,0
1242,0
1500,1
1524,0
1636,1
1768,1
1771,1
1802,1
1814,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1837,0
1845,0
1846,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1880,0
1898,1
1899,0
1972,1
2035,0
2066,1
2155,1
2184,1
1001,0
1003,0
1007,0
1008,0
1019,0
1020,0
1022,0
1193,0
1194,0
1195,0
2208,1
2290,1
2342,0
2355,1
2398,1
2476,1
2527,1
2640,1
2682,1
2687,1
2690,0
2710,1
2826,1
2909,0
2912,0
2931,0
2946,0
70828,1
71065,1
3002,0
3305,0
3006,0
3024,0
71065,1
3025,0
3026,0
3066,0
3067,0
3119,1
3161,0
3255,1
3268,1
3270,0
3271,0
3273,0
71132,1
3284,0
3285,0
3286,0
3290,0
3291,0
3297,0
16652,1
16787,1
16898,1
3298,0
3299,0
3300,0
4987,1
3313,0
3314,0
3315,0
3316,0
3317,0
3318,0
17168,1
3319,0
3984,1
24174,1
24891,1
3320,0
3321,0
3322,0
71236,1
3323,0
3400,0
4222,1
3401,0
4344,1
4345,1
4445,1
3402,0
3403,0
71038,1
4534,1
3404,0
3405,0
3406,0
4867,1
4963,1
4226,1
3407,0
4601,1
3408,0
3443,1
3481,0
65997,1
3482,0
3483,0
3484,0
3485,0
3486,0
65972,1
3487,0
3530,0
3531,0
3532,0
3533,0
3534,0
3535,0
3536,0
3538,1
3539,0
3540,0
67918,1
3542,0
3543,0
3555,0
5516,1
68175,1
3556,0
3557,0
3564,0
64351,1
65944,1
3565,0
3566,0
3567,0
3568,0
3569,0
71016,1
71037,1
70874,1
3570,0
4070,0
4149,0
4225,1
4226,1
4445,1
4867,1
5547,1
5609,1
5619,0
70604,1
69970,1
5639,0
5641,0
4225,1
5647,1
5658,0
69961,1
68542,1
5660,1
5691,0
69911,1
5773,1
23409,1
39544,1
61751,0
68326,1
69970,1
61986,1
62760,1
3571,0
68702,1
3572,0
70856,1
70868,1
3594,0
3677,0
3711,1
3778,1
3870,1
69914,1
3883,0
3970,1
3984,1
64253,1
70616,1
